Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"MK","Macro Indicators","PRY","Paraguay","6110","Value US$","22008","Gross Domestic Product","2022","2022","million USD","41722.295362","X","Figure from international organizations",""
"MK","Macro Indicators","PRY","Paraguay","6110","Value US$","22008","Gross Domestic Product","2023","2023","million USD","43526.526063","E","Estimated value",""
"MK","Macro Indicators","PER","Peru","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","228325.852221","X","Figure from international organizations",""
"MK","Macro Indicators","PER","Peru","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","201947.603715","X","Figure from international organizations",""
"MK","Macro Indicators","PER","Peru","6110","Value US$","22008","Gross Domestic Product","2021","2021","million USD","223717.791483","X","Figure from international organizations",""
"MK","Macro Indicators","PER","Peru","6110","Value US$","22008","Gross Domestic Product","2022","2022","million USD","242631.549613","X","Figure from international organizations",""
"MK","Macro Indicators","PRI","Puerto Rico","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","105126.4","X","Figure from international organizations",""
"MK","Macro Indicators","PRI","Puerto Rico","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","103130.9","X","Figure from international organizations",""
"MK","Macro Indicators","PRI","Puerto Rico","6110","Value US$","22008","Gross Domestic Product","2021","2021","million USD","106368.9","X","Figure from international organizations",""
"MK","Macro Indicators","PRI","Puerto Rico","6110","Value US$","22008","Gross Domestic Product","2022","2022","million USD","113434.8","X","Figure from international organizations",""
"MK","Macro Indicators","PRI","Puerto Rico","6110","Value US$","22008","Gross Domestic Product","2023","2023","million USD","117700.086403","E","Estimated value",""
"MK","Macro Indicators","KNA","Saint Kitts and Nevis","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","1107.844444","X","Figure from international organizations",""
"MK","Macro Indicators","KNA","Saint Kitts and Nevis","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","884.522222","X","Figure from international organizations",""
"MK","Macro Indicators","KNA","Saint Kitts and Nevis","6110","Value US$","22008","Gross Domestic Product","2021","2021","million USD","860.844444","X","Figure from international organizations",""
"MK","Macro Indicators","KNA","Saint Kitts and Nevis","6110","Value US$","22008","Gross Domestic Product","2022","2022","million USD","979.218519","X","Figure from international organizations",""
"MK","Macro Indicators","KNA","Saint Kitts and Nevis","6110","Value US$","22008","Gross Domestic Product","2023","2023","million USD","1057.839183","E","Estimated value",""
"MK","Macro Indicators","LCA","Saint Lucia","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","2095.703704","X","Figure from international organizations",""
"MK","Macro Indicators","LCA","Saint Lucia","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","1420.777778","X","Figure from international organizations",""
"MK","Macro Indicators","LCA","Saint Lucia","6110","Value US$","22008","Gross Domestic Product","2021","2021","million USD","1773.296296","X","Figure from international organizations",""
"MK","Macro Indicators","LCA","Saint Lucia","6110","Value US$","22008","Gross Domestic Product","2022","2022","million USD","2165.194778","X","Figure from international organizations",""
"MK","Macro Indicators","LCA","Saint Lucia","6110","Value US$","22008","Gross Domestic Product","2023","2023","million USD","2349.925225","E","Estimated value",""
"MK","Macro Indicators","VCT","Saint Vincent and the Grenadines","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","910.765556","X","Figure from international organizations",""
"MK","Macro Indicators","VCT","Saint Vincent and the Grenadines","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","869.111852","X","Figure from international organizations",""
